inventor,patents,coworkers_patents,patents/coworkers_patents
CIUPIK LECHOSLAW,14,1.0,14.0
CLAPA JAKUB,1,2.75,0.36363636363636365
CMOCH PIOTR,4,2.5714285714285716,1.5555555555555554
CWAJNA JAN,1,0.125,8.0
CWALINA BEATA,1,0.15789473684210525,6.333333333333334
CYBULA ANNA,2,1.52,1.3157894736842106
CYBULARCZYK MARTYNA,1,1.25,0.8
CYBULSKI ANDRZEJ,3,0.36,8.333333333333334
CYBULSKI CEZARY,6,3.010204081632653,1.993220338983051
CYBULSKI JACEK,1,1.9622641509433962,0.5096153846153846
CYBULSKI MARCIN,6,3.263157894736842,1.838709677419355
CYNKOWSKA GRAZYNA,15,0.1111111111111111,135.0
CYRAN KRZYSZTOF,1,0.0,0
CYWINSKI MAREK,3,0.0,0
CZACHOR MARCELI,1,0.0,0
CZACZYK KATARZYNA,2,0.23809523809523808,8.4
CZAJA WOJCIECH,4,0.0,0
CZAJKA AGNIESZKA,2,0.0,0
CZAJKA PIOTR,5,0.967741935483871,5.166666666666666
CZAPIGA BOGDAN,1,0.34615384615384615,2.888888888888889
CZAPLICKA KRYSTYNA,1,1.1666666666666667,0.8571428571428571
CZAPLICKI ZDZISLAW,3,3.0,1.0
CZARDYBON WOJCIECH,7,0.6,11.666666666666668
CZARNECKA ELZBIETA,1,0.0,0
CZARNECKA IWONA,1,0.0,0
CZARNECKA-KOMOROWSKA DOROTA,1,2.2222222222222223,0.44999999999999996
CZARNECKI JAKUB,1,0.6363636363636364,1.5714285714285714
CZARNECKI JAN,8,0.375,21.333333333333332
CZARNECKI MAREK,1,0.0,0
CZARNECKI PIOTR,5,0.38095238095238093,13.125
CZARNECKI RYSZARD,1,0.1,10.0
CZARNOCKI ZBIGNIEW,3,0.55,5.454545454545454
CZARNOWSKA ELZBIETA,1,0.09090909090909091,11.0
CZARNY RAFAL,2,0.2,10.0
CZARTORYSKA BARBARA,2,0.9444444444444444,2.1176470588235294
CZECH ANDRZEJ,1,0.0,0
CZECH-POLAK JUSTYNA,2,1.6756756756756757,1.1935483870967742
CZECHOWSKI TOMASZ,8,1.3333333333333333,6.0
CZEKAJ EDWARD,1,0.0,0
CZEKALSKA MAGDALENA,1,13.25,0.07547169811320754
CZEPIEL PAWEL,3,0.0,0
CZERMAK ADAM,1,2.0,0.5
CZERNIAK KAMIL,1,1.5238095238095237,0.65625
CZERNIECKA-KUBICKA ANNA,1,0.625,1.6
CZERWIEC WOJCIECH,1,0.2,5.0
CZERWINSKA MONIKA,1,7.0,0.14285714285714285
CZERWINSKI ANDRZEJ,1,5.2727272727272725,0.18965517241379312
CZERWOSZ ELZBIETA,1,0.36585365853658536,2.7333333333333334
CZESTKOWSKI WOJCIECH,6,0.0,0
CZOGALLA ALEKSANDER,1,0.2608695652173913,3.8333333333333335
CZOPEK ANNA,1,0.6666666666666666,1.5
CZUBA KRZYSZTOF,4,0.0,0
CZUDEK JAN,3,0.0,0
CZUPRYNSKI KRZYSZTOF,1,0.4482758620689655,2.230769230769231
CZYLOK KAZIMIERZ,1,0.0,0
CZYZ JERZY,4,0.0,0
CZYZEWSKA LIDIA,3,1.55,1.9354838709677418
CZYZEWSKI ADAM,13,0.0,0
CZYZEWSKI ANDRZEJ,13,2.176470588235294,5.972972972972974
DABEK IZABELA,2,18.0,0.1111111111111111
DABKOWSKI WOJCIECH,1,6.133333333333334,0.16304347826086957
DABROS TADEUSZ,1,0.5853658536585366,1.7083333333333335
DABROWIECKI ZBIGNIEW,2,0.0,0
DABROWSKA KRYSTYNA,3,9.555555555555555,0.313953488372093
DABROWSKA MAGDALENA,1,0.6097560975609756,1.6400000000000001
DABROWSKA SYLWIA,1,3.5,0.2857142857142857
DABROWSKA-TUMANSKA ELZBIETA,2,2.6,0.7692307692307692
DABROWSKI ADAM,1,0.2222222222222222,4.5
DABROWSKI JAROSLAW,18,0.23529411764705882,76.5
DABROWSKI LESZEK,2,0.0,0
