person_name_alias,coworker_name_alias,common_publications_count
ALEKSANDRZAK-PIEKARCZYK TAMARA,KRISTIANSEN PER EUGEN,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,STRAUME DANIEL,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,JENSEN MARIANNE S.,1
ALLAM ANWAR,ALLAM ANWAR,1
ALSCHER ARNOLD,MUELLER-WESTERHOFF ULRICH T.,2
ALSCHER ARNOLD,ALSCHER ARNOLD,7
ALSCHER ARNOLD,VOGEL EMANUEL,3
ALSCHER ARNOLD,WILMS KLAUS,3
ALSCHER ARNOLD,SHARP J. A.,1
ALSCHER ARNOLD,WILDFORSTER ROLF,2
ALSCHER ARNOLD,SHARP J.A.,1
ALTYNTSEV EUGENIUSZ,PECZKIS GRZEGORZ,1
ALTYNTSEV EUGENIUSZ,ALTYNTSEV EUGENIUSZ,1
ALTYNTSEV EUGENIUSZ,KORCZAK ANDRZEJ,1
ALTYNTSEV EUGENIUSZ,SYNOWIEC TOMASZ,1
ALTYNTSEV IEVGENII,ALTYNTSEV IEVGENII,2
ALTYNTSEV IEVGENII,KORCZAK ANDRZEJ,2
ALTYNTSEV IEVGENII,PECZKIS GRZEGORZ,1
ALTYNTSEV IEVGENII,SYNOWIEC TOMASZ,1
AMBICKA ALEKSANDRA,AMBICKA ALEKSANDRA,15
AMBICKA ALEKSANDRA,MALECKI KRZYSZTOF,2
AMBICKA ALEKSANDRA,NIEMIEC JOANNA,11
AMBICKA ALEKSANDRA,ADAMCZYK AGNIESZKA,14
AMBICKA ALEKSANDRA,RYS JANUSZ,13
AMBICKA ALEKSANDRA,MUCHA-MALECKA ANNA,6
AMBICKA ALEKSANDRA,WYSOCKI WOJCIECH,1
AMBICKA ALEKSANDRA,MITUS JERZY,4
AMBICKA ALEKSANDRA,WYSOCKI WOJCIECH H.,1
AMBICKA ALEKSANDRA,NIEMIEC JOANNA A.,3
AMBICKA ALEKSANDRA,M. WYSOCKI WOJCIECH,1
AMBICKA ALEKSANDRA,SAS-KORCZYNSKA BEATA,3
AMBICKA ALEKSANDRA,HARAZIN-LECHOWSKA AGNIESZKA,6
AMBICKA ALEKSANDRA,LUCZYNSKA ELZBIETA,2
AMBICKA ALEKSANDRA,WYSOCKI WOJCIECH M.,2
AMBICKA ALEKSANDRA,MAJCHRZYK KAJA,4
AMBICKA ALEKSANDRA,JAKUBOWICZ JERZY,3
AMBICKA ALEKSANDRA,WALASEK TOMASZ,1
AMBICKA ALEKSANDRA,CICHOCKA ANNA,2
AMBICKA ALEKSANDRA,WYSOCKI WOJCIECH M,1
AMBICKA ALEKSANDRA,KRUCZAK ANNA,4
AMBICKA ALEKSANDRA,GRELA-WOJEWODA ALEKSANDRA,3
AMBICKA ALEKSANDRA,JANECKA ANNA,2
AMBICKA ALEKSANDRA,DOMAGALA-HADUCH MALGORZATA,3
AMBICKA ALEKSANDRA,CEDRYCH IDA,2
AMBICKA ALEKSANDRA,JANECKA-WIDLA ANNA,1
AMBICKA ALEKSANDRA,JANUS GRZEGORZ,1
AMBICKA ALEKSANDRA,MULARZ KATARZYNA,1
AMBICKA ALEKSANDRA,ROZMUS-PIETON MAGDALENA,1
AMBICKA ALEKSANDRA,KROL MARTA,1
AMBICKA ALEKSANDRA,MARCHINSKA-OSIKA URSZULA,1
AMBICKA ALEKSANDRA,SWIATKIEWICZ IWONA,1
AMBICKA ALEKSANDRA,PABIS DARIUSZ,1
AMBROZIAK SLAWOMIR,RAJCHOWSKI PIOTR,2
AMBROZIAK SLAWOMIR,AMBROZIAK SLAWOMIR,3
AMBROZIAK SLAWOMIR,CWALINA KRZYSZTOF,2
AMBROZIAK SLAWOMIR,SADOWSKI JAROSLAW,1
AMBROZIAK SLAWOMIR,STEFANSKI JACEK,1
AMBROZIAK WOJCIECH,AMBROZIAK WOJCIECH,22
AMBROZIAK WOJCIECH,PIETRUSZKO REGINA,6
AMBROZIAK WOJCIECH,SLOMKOWSKA ANNA,1
AMBROZIAK WOJCIECH,KORDIALIK-BOGACKA EDYTA,3
AMBROZIAK WOJCIECH,KOSLEY LYNDA L.,1
AMBROZIAK WOJCIECH,FOURIE CHANTELLE,1
AMBROZIAK WOJCIECH,MONTGOMERY JOHANNA M.,1
AMBROZIAK WOJCIECH,KREGIEL DOROTA,4
AMBROZIAK WOJCIECH,BERLOWSKA JOANNA,4
AMBROZIAK WOJCIECH,IZAGUIRRE GONZALO,1
AMBROZIAK WOJCIECH,KURYS GLORIA,2
AMBROZIAK WOJCIECH,DIOWKSZ ANNA,1
AMBROZIAK WOJCIECH,CZYZOWSKA AGATA,3
AMBROZIAK WOJCIECH,ADAMIEC JANUSZ,3
AMBROZIAK WOJCIECH,WILKOWSKA AGNIESZKA,3
AMBROZIAK WOJCIECH,BRYSZEWSKA MALGORZATA A.,1
AMBROZIAK WOJCIECH,RUDZINSKI JULIUSZ,1
AMBROZIAK WOJCIECH,LEWIS D. JOHN.,1
AMBROZIAK WOJCIECH,RYZLAK MARIA T.,2
AMBROZIAK WOJCIECH,SCHAFFNER CALR P.,1
AMBROZIAK WOJCIECH,SCHAFFNER CARL P.,1
AMBROZIAK WOJCIECH,OKRAJNI JOANNA,1
AMBROZIAK WOJCIECH,LEKKA MALGORZATA,1
AMBROZIAK WOJCIECH,WANDELT BARBARA,1
AMBROZIAK WOJCIECH,HACHULKA KAMILA,1
AMROZIK PIOTR,AMROZIK PIOTR,5
AMROZIK PIOTR,NAPIERALSKI ANDRZEJ,4
AMROZIK PIOTR,ZABIEROWSKI WOJCIECH,1
AMROZIK PIOTR,MAJ CEZARY,1
AMROZIK PIOTR,KOTYNIA LUKASZ,1
AMROZIK PIOTR,SZERMER MICHAL,1
AMROZIK PIOTR,NAZDROWICZ JACEK,1
AMROZIK PIOTR,KUPIS JOANNA,1
AMROZIK PIOTR,JUNG JAROSLAW,1
AMROZIK PIOTR,ZATORSKI WITOLD,1
AMROZIK PIOTR,ULANSKI JACEK,1
AMROZIK PIOTR,MUDZA ZBIGNIEW,1
AMROZIK PIOTR,JABLONSKI GRZEGORZ,1
AMROZIK PIOTR,KIELBIK RAFAL,1
AMROZIK PIOTR,POLANOWSKI PIOTR,1
AMROZIK PIOTR,STOZEK DOMINIK,1
AMROZIK PIOTR,RUDNICKI KAMIL,1
AMROZIK PIOTR,PANEK PRZEMYSLAW,1
AMROZIK PIOTR,HALAGAN KRZYSZTOF,1
ANDRUSZKIEWICZ RYSZARD,ANDRUSZKIEWICZ RYSZARD,23
ANDRUSZKIEWICZ RYSZARD,WYSZOGRODZKA MONIKA,2
ANDRUSZKIEWICZ RYSZARD,ROZKIEWICZ DOROTA,2
ANDRUSZKIEWICZ RYSZARD,WALKOWIAK ALEKSANDRA,4
ANDRUSZKIEWICZ RYSZARD,CZERWINSKI ANDRZEJ,3
ANDRUSZKIEWICZ RYSZARD,LIEDKE-PRZYBYSZ EWA,1
ANDRUSZKIEWICZ RYSZARD,SILVERMAN RICHARD B.,1
ANDRUSZKIEWICZ RYSZARD,MILEWSKI STAWOMIR,1
ANDRUSZKIEWICZ RYSZARD,BOROWSKI EDWARD,5
ANDRUSZKIEWICZ RYSZARD,BLAZEJOWSKI JERZY,1
ANDRUSZKIEWICZ RYSZARD,ZIMECKI MICHAL,1
ANDRUSZKIEWICZ RYSZARD,CZAJGUCKI ZBIGNIEW,3
ANDRUSZKIEWICZ RYSZARD,GRZYBOWSKA JOLANTA,1
ANDRUSZKIEWICZ RYSZARD,RADOWSKI MICHAL,1
ANDRUSZKIEWICZ RYSZARD,GRONEK EWA,1
ANDRUSZKIEWICZ RYSZARD,HALUSZCZAK JOLANTA,1
ANDRUSZKIEWICZ RYSZARD,ZIENIAWA TERESA,2
ANDRUSZKIEWICZ RYSZARD,MILEWSKI SAAWOMIR,1
ANDRUSZKIEWICZ RYSZARD,CHMARA HENRYK,2
ANDRUSZKIEWICZ RYSZARD,KAMYSZ WOJCIECH,1
ANDRUSZKIEWICZ RYSZARD,WOJCIECHOWSKI MAREK,1
ANDRUSZKIEWICZ RYSZARD,JEDRZEJCZAK ROBERT,1
ANDRUSZKIEWICZ RYSZARD,ZGODA WLODZIMIERZ,1
ANDRUSZKIEWICZ RYSZARD,TREDER ADAM P.,1
ANDRYS DOMINIKA,KULPA DANUTA,3
ANDRYS DOMINIKA,ANDRYS DOMINIKA,3
ANDRYS DOMINIKA,GRZESZCZUK MONIKA,2
ANDRYS DOMINIKA,BIALECKA BOZENA,1
ANDRYS DOMINIKA,BIHUN MAGDALENA,1
