inventor,patents,coworkers_patents
CIESLAK MARCIN,6,2.0
CIESLICKI KRZYSZTOF,1,1.0
CIEZKOWSKA MARTYNA,8,7.875
CIOSEK MARCIN,8,19.0
CISLO ROMUALDA,2,13.0
CISZEWSKI KRZYSZTOF,6,30.0
CISZEWSKI TADEUSZ,2,3.0
CIUK TYMOTEUSZ,2,5.888888888888889
CIUNIK ZBIGNIEW,1,1.0
CIUPIK LECHOSLAW,49,11.333333333333334
CLAPA JAKUB,1,3.25
CMOCH PIOTR,15,23.0
CWAJNA JAN,2,1.8
CWALINA BEATA,1,1.5
CYBULA ANNA,7,7.9
CYBULARCZYK MARTYNA,1,2.0
CYBULSKI ANDRZEJ,9,4.333333333333333
CYBULSKI CEZARY,16,20.323529411764707
CYBULSKI JACEK,1,12.8
CYBULSKI MARCIN,19,13.615384615384615
CYNKOWSKA GRAZYNA,47,6.0
CZACZYK KATARZYNA,2,2.5
CZAJKA PIOTR,8,8.5
CZAPIGA BOGDAN,1,1.25
CZAPLICKA KRYSTYNA,1,15.0
CZAPLICKI ZDZISLAW,4,4.0
CZARDYBON WOJCIECH,27,10.875
CZARNECKA-KOMOROWSKA DOROTA,2,10.5
CZARNECKI JAKUB,1,1.3333333333333333
CZARNECKI JAN,14,5.0
CZARNECKI PIOTR,21,11.0
CZARNECKI RYSZARD,1,1.0
CZARNOCKI ZBIGNIEW,8,4.4
CZARNOWSKA ELZBIETA,1,3.0
CZARNY RAFAL,3,3.0
CZARTORYSKA BARBARA,7,10.1875
CZECH-POLAK JUSTYNA,2,5.8
CZECHOWSKI TOMASZ,10,5.4
CZEKALSKA MAGDALENA,2,40.0
CZERMAK ADAM,2,10.0
CZERNIAK KAMIL,1,12.5
CZERNIECKA-KUBICKA ANNA,1,2.0
CZERWIEC WOJCIECH,1,1.0
CZERWINSKA MONIKA,4,22.0
CZERWINSKI ANDRZEJ,1,35.54545454545455
CZERWOSZ ELZBIETA,1,5.333333333333333
CZOGALLA ALEKSANDER,1,2.5714285714285716
CZOPEK ANNA,1,5.5
CZUPRYNSKI KRZYSZTOF,2,12.5
CZYZEWSKA LIDIA,3,8.25
CZYZEWSKI ANDRZEJ,14,7.454545454545454
DABEK IZABELA,9,60.5
DABKOWSKI WOJCIECH,4,18.8
DABROS TADEUSZ,1,14.0
DABROWSKA KRYSTYNA,6,27.714285714285715
DABROWSKA MAGDALENA,1,11.666666666666666
DABROWSKA SYLWIA,1,14.0
DABROWSKA-TUMANSKA ELZBIETA,2,10.333333333333334
DABROWSKI ADAM,1,10.0
DABROWSKI JAROSLAW,31,11.0
DABROWSKI MICHAL,1,2.3333333333333335
DABROWSKI ROMAN,24,2.8333333333333335
DACA-ROSZAK PATRYCJA,1,1.2857142857142858
DADLEZ MICHAL,2,6.428571428571429
DAMAZIAK KRZYSZTOF,1,3.75
DAMS IWONA,3,14.75
DANEL ANDRZEJ,5,4.384615384615385
DANIELEWICZ REGINA,6,16.25
DANILECKI ARKADIUSZ,1,1.6
DANOWSKA MAGDALENA,5,2.6785714285714284
DAROWSKI MAREK,6,3.6666666666666665
DARZYNKIEWICZ EDWARD,24,13.875
DASTYCH JAROSLAW,24,4.909090909090909
DATTA JANUSZ,2,1.6153846153846154
DAWIDCZYK PIOTR,4,1.0
DEBEK CEZARY,1,1.0
DEBNIAK TADEUSZ,15,19.473684210526315
DEBOWSKI MACIEJ,1,1.0
DEBOWSKI MARCIN,4,9.0
DEBSKI JANUSZ,1,7.0
DEBSKI PAWEL,17,31.333333333333332
DEMBKOWSKI LESZEK,12,9.6
DENDA HUBERT,1,1.0
DENYS ANDRZEJ,2,31.666666666666668
DEPTULA ANDRZEJ,4,2.125
DEREWONKO AGNIESZKA,3,4.333333333333333
DMOWSKA GRAZYNA,1,1.0
DOBRIANSKI JURIJ,6,7.0
DOBROWOLSKI JAN,1,1.0
DOBRUCKI WLADYSLAW,3,3.0
DOBRZYNSKI PIOTR,2,3.12
DOLEGOWSKA BARBARA,4,9.0
